"Index Name","Date","Open","High","Low","Close"
"NIFTY MICROCAP 250","29 Aug 2024","25139.55","25152.95","24737.75","24831.20"
"NIFTY MICROCAP 250","28 Aug 2024","25282.85","25350.35","25085.25","25104.90"
"NIFTY MICROCAP 250","27 Aug 2024","25130.7","25219.3","25117.4","25179.55"
"NIFTY MICROCAP 250","26 Aug 2024","25274.6","25309.55","25069.15","25082.10"
"NIFTY MICROCAP 250","23 Aug 2024","25236.85","25266","25102.35","25143.85"
"NIFTY MICROCAP 250","22 Aug 2024","25160.75","25226.15","25095.05","25131.30"
"NIFTY MICROCAP 250","21 Aug 2024","24812.45","25018.35","24788","25002.85"
"NIFTY MICROCAP 250","20 Aug 2024","24764.1","24786","24651.1","24732.15"
"NIFTY MICROCAP 250","19 Aug 2024","24457.95","24622.2","24425.6","24601.05"
"NIFTY MICROCAP 250","16 Aug 2024","23985.65","24261.25","23963.9","24246.95"
"NIFTY MICROCAP 250","14 Aug 2024","23978.95","24004.5","23512.7","23754.35"
